,spu,Tst_high,Tst_low,m_hp,Thp_in,Thp_out,q_hp
2021-10-19 04:15:00+02:00,,38.71613333333333,36.25246666666666,678.3330000000001,37.772133333333336,40.5694,2.10872
2021-10-19 04:30:00+02:00,,39.8298,37.62526666666667,709.3420000000001,39.175533333333334,40.812400000000004,1.3634066666666667
2021-10-19 04:45:00+02:00,,40.09686666666667,38.3958,677.215,38.8346,38.625800000000005,-0.12464
2021-10-19 05:00:00+02:00,,40.01053333333333,38.59733333333333,676.965,38.69506666666666,38.466,-0.17239333333333337
2021-10-19 05:15:00+02:00,,39.32746666666666,37.05726666666667,673.763,37.6864,37.56693333333333,-0.04848666666666667
2021-10-19 05:30:00+02:00,,38.74766666666667,35.693933333333334,769.4860000000001,37.14173333333331,39.409266666666674,1.9644266666666665
2021-10-19 05:45:00+02:00,,38.36306666666666,36.026066666666665,675.427,37.263733333333334,40.205466666666666,2.2085866666666663
2021-10-19 06:00:00+02:00,,38.861200000000004,36.43926666666666,678.0699999999999,37.952866666666665,40.59913333333334,1.9945133333333331
2021-10-19 06:15:00+02:00,,39.92166666666667,37.83593333333333,705.1389999999999,39.162733333333335,40.18913333333333,0.9228133333333334
2021-10-19 06:30:00+02:00,,39.99766666666667,38.3778,676.1080000000001,38.70746666666666,38.489799999999995,-0.15132666666666666
2021-10-19 06:45:00+02:00,,39.92079999999999,38.538066666666666,674.862,38.58673333333334,38.36713333333333,-0.14342666666666667
2021-10-19 07:00:00+02:00,,39.27233333333333,37.14626666666667,673.304,37.68706666666667,37.57426666666667,-0.03322
2021-10-19 07:15:00+02:00,,38.72153333333333,35.60419999999999,776.1000000000001,37.12286666666667,39.401266666666665,1.9822266666666666
2021-10-19 07:30:00+02:00,,38.376,36.004933333333334,674.8849999999999,37.23373333333333,40.22866666666666,2.2449466666666664
2021-10-19 07:45:00+02:00,,38.72939999999999,36.102,678.6709999999999,37.62113333333334,40.44193333333333,2.1278333333333332
2021-10-19 08:00:00+02:00,,39.70066666666666,37.38433333333333,712.056,38.91293333333333,40.504866666666665,1.37792
2021-10-19 08:15:00+02:00,,39.92613333333333,38.08593333333334,675.9340000000001,38.498733333333334,38.29613333333334,-0.08756666666666667
2021-10-19 08:30:00+02:00,,39.85626666666667,38.29113333333333,675.325,38.382666666666665,38.175533333333334,-0.12307333333333335
