,N,NE,E,SE,S,SW,W,NW
2021-10-27 22:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 22:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 22:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 22:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 23:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 23:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-27 23:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 00:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 00:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 00:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 00:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 01:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 01:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 01:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 01:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 02:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 02:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 02:30:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 02:45:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 03:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-28 03:15:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
